mirna	target_gene	score	cell_type
hsa-miR-3680-3p	SOX6	0.96989286	Astrocyte
hsa-miR-3680-3p	RBMS3	0.9557634	Astrocyte
hsa-miR-3180-5p	PCSK6	0.9526976	Astrocyte
hsa-miR-4659b-3p	IGDCC4	0.94297296	Astrocyte
hsa-miR-3180-5p	MAMDC2	0.94293517	Astrocyte
hsa-miR-3180-5p	ZFHX4	0.94166267	Astrocyte
hsa-miR-3180-5p	BACE2	0.93673927	Astrocyte
hsa-miR-3180-5p	BACH2	0.9360071	Astrocyte
hsa-miR-3180-5p	OLR1	0.9338541	Astrocyte
hsa-miR-3680-3p	PAG1	0.9252602	Astrocyte
hsa-miR-3680-3p	SEMA6A	0.92245954	Astrocyte
hsa-miR-4659b-3p	CYTL1	0.9184005	Astrocyte
hsa-miR-4769-3p	RASSF3	0.9162576	Astrocyte
hsa-miR-3180-5p	PFN2	0.9088612	Astrocyte
hsa-miR-3180-5p	NEDD9	0.90816194	Astrocyte
hsa-miR-140-5p	TGFBR1	0.9078973	Astrocyte
hsa-miR-3180-5p	ABTB2	0.90095323	Astrocyte
hsa-miR-146a-3p	MASP1	0.90041083	Astrocyte
hsa-miR-4659b-3p	NEUROD1	0.9003486	Astrocyte
hsa-miR-19b-3p	ROR1	0.9002024	Astrocyte
hsa-miR-19b-3p	SOX6	0.8988278	Astrocyte
hsa-miR-3180-5p	NXPH1	0.896033	Astrocyte
hsa-miR-3680-3p	MAP3K1	0.8954509	Astrocyte
hsa-miR-3163	IGFBP3	0.8947471	Astrocyte
hsa-miR-1283	HSPA1B	0.8947014	Astrocyte
hsa-miR-4659b-3p	PLXDC2	0.8943622	Astrocyte
hsa-miR-3680-3p	PALLD	0.89342535	Astrocyte
hsa-miR-4659b-3p	TNFSF13B	0.8924447	Astrocyte
hsa-miR-4659b-3p	RBMS3	0.89220226	Astrocyte
hsa-miR-3680-3p	ZFP36L1	0.891416	Astrocyte
hsa-miR-4659b-3p	COL4A1	0.88874197	Astrocyte
hsa-miR-3180-5p	ADCY2	0.8874241	Astrocyte
hsa-miR-3680-3p	BACH2	0.8869078	Astrocyte
hsa-miR-3680-3p	BCL11B	0.8866876	Astrocyte
hsa-miR-3180-5p	TENM4	0.8861548	Astrocyte
hsa-miR-19b-3p	IGFBP3	0.8838134	Astrocyte
hsa-miR-3680-3p	RAI14	0.88213474	Astrocyte
hsa-miR-17-5p	PBX3	0.87909603	Astrocyte
hsa-miR-19b-3p	GPCPD1	0.8784814	Astrocyte
hsa-miR-17-5p	CD69	0.8783944	Astrocyte
hsa-miR-4659b-3p	PRDM1	0.8770307	Astrocyte
hsa-miR-140-5p	PRDM1	0.87508667	Astrocyte
hsa-miR-3942-5p	NHLH1	0.8743629	Astrocyte
hsa-miR-3680-3p	SLC2A3	0.8717196	Astrocyte
hsa-miR-3180-5p	PADI2	0.8712588	Astrocyte
hsa-miR-3163	TFPI	0.87066597	Astrocyte
hsa-miR-3680-3p	KCNN3	0.86993533	Astrocyte
hsa-miR-3680-3p	CNTN5	0.86855954	Astrocyte
hsa-miR-3180-5p	TNFRSF1A	0.8674966	Astrocyte
hsa-miR-3180-5p	SLC1A2	0.8663119	Astrocyte
hsa-miR-3180-5p	SNX7	0.86608267	Astrocyte
hsa-miR-4659b-3p	RIMKLB	0.8654819	Astrocyte
hsa-miR-3180-5p	QRSL1	0.86384475	Astrocyte
hsa-miR-585-5p	SPARC	0.8631871	Astrocyte
hsa-miR-146a-3p	VAV3	0.8620221	Astrocyte
hsa-miR-3163	IRAK3	0.8614598	Astrocyte
hsa-miR-19b-3p	NEUROD1	0.8605679	Astrocyte
hsa-miR-3680-3p	PCSK5	0.8596307	Astrocyte
hsa-miR-3680-3p	FNDC3B	0.8592553	Astrocyte
hsa-miR-202-3p	PEG10	0.85885775	Astrocyte
hsa-miR-3163	MAMDC2	0.8568093	Astrocyte
hsa-miR-4659b-3p	DACH1	0.8559846	Astrocyte
hsa-miR-4659b-3p	ST8SIA4	0.8552932	Astrocyte
hsa-miR-3180-5p	KLHL13	0.8547912	Astrocyte
hsa-miR-4659b-3p	NR5A2	0.85001713	Astrocyte
hsa-miR-3680-3p	CTTNBP2NL	0.848807	Astrocyte
hsa-miR-4659b-3p	MEDAG	0.8471938	Astrocyte
hsa-miR-3680-3p	ZBTB2	0.8466165	Astrocyte
hsa-miR-3163	ITGA8	0.8461291	Astrocyte
hsa-miR-4659b-3p	IL1R1	0.8437288	Astrocyte
hsa-miR-3942-5p	PEG10	0.84341323	Astrocyte
hsa-miR-4659b-3p	PCDH15	0.8403132	Astrocyte
hsa-miR-3680-3p	CNN3	0.8401091	Astrocyte
hsa-miR-3680-3p	CBLB	0.8396071	Astrocyte
hsa-miR-19b-3p	ARHGAP11A	0.83942336	Astrocyte
hsa-miR-3180-5p	CD36	0.83889794	Astrocyte
hsa-miR-202-3p	RCN1	0.83791476	Astrocyte
hsa-miR-19b-3p	ATP10A	0.83317703	Astrocyte
hsa-miR-17-5p	BCL11B	0.8327907	Astrocyte
hsa-miR-1283	PDZRN3	0.8322046	Astrocyte
hsa-miR-6872-3p	SH3BGR	0.83178264	Astrocyte
hsa-miR-19b-3p	PFN2	0.83170885	Astrocyte
hsa-miR-19b-3p	ZNF516	0.8308421	Astrocyte
hsa-miR-3163	KIT	0.8303091	Astrocyte
hsa-miR-3680-3p	USP6NL	0.82948136	Astrocyte
hsa-miR-4659b-3p	ADAMTS6	0.82881397	Astrocyte
hsa-miR-3163	MOXD1	0.828749	Astrocyte
hsa-miR-140-5p	ROR1	0.82864004	Astrocyte
hsa-miR-17-5p	HAS2	0.8283968	Astrocyte
hsa-miR-19b-3p	MAP3K1	0.82804334	Astrocyte
hsa-miR-19b-3p	SOX4	0.827825	Astrocyte
hsa-miR-17-5p	FAT2	0.82532173	Astrocyte
hsa-miR-140-5p	ANO6	0.8240785	Astrocyte
hsa-miR-3680-3p	PLXNA4	0.8238857	Astrocyte
hsa-miR-3163	LOX	0.82293713	Astrocyte
hsa-miR-4659b-3p	CA10	0.82274336	Astrocyte
hsa-miR-3680-3p	MAOA	0.8224997	Astrocyte
hsa-miR-19b-3p	FOXP2	0.8214491	Astrocyte
hsa-miR-3180-5p	NOX4	0.82135993	Astrocyte
hsa-miR-1283	OLR1	0.8210781	Astrocyte
hsa-miR-3163	MEX3A	0.81998026	Astrocyte
hsa-miR-1283	HES1	0.8177192	Astrocyte
hsa-miR-202-3p	COL4A2	0.817056	Astrocyte
hsa-miR-3680-3p	FGFR3	0.8155289	Astrocyte
hsa-miR-3680-3p	ATP11C	0.8154793	Astrocyte
hsa-miR-3942-5p	NR2F2	0.81477237	Astrocyte
hsa-miR-17-5p	PDGFRA	0.8146958	Astrocyte
hsa-miR-4659b-3p	EBF1	0.81432974	Astrocyte
hsa-miR-585-5p	KIAA1217	0.8137628	Astrocyte
hsa-miR-19b-3p	RBMS3	0.8127136	Astrocyte
hsa-miR-4659b-3p	EYS	0.8123636	Astrocyte
hsa-miR-3180-5p	CD86	0.8118165	Astrocyte
hsa-miR-19b-3p	LIN9	0.8093933	Astrocyte
hsa-miR-3163	MYO10	0.80809444	Astrocyte
hsa-miR-19b-3p	MID1	0.8079348	Astrocyte
hsa-miR-3680-3p	F2R	0.8078949	Astrocyte
hsa-miR-3163	PLXDC2	0.8073035	Astrocyte
hsa-miR-3163	TNR	0.80720055	Astrocyte
hsa-miR-4659b-3p	CALCRL	0.80621296	Astrocyte
hsa-miR-3680-3p	TENT5C	0.8034088	Astrocyte
hsa-miR-1283	THSD7B	0.8022075	Astrocyte
hsa-miR-4659b-3p	RSPO3	0.8015464	Astrocyte
hsa-miR-3680-3p	EDN1	0.79985386	Astrocyte
hsa-miR-17-5p	PLXDC2	0.7976439	Astrocyte
hsa-miR-140-5p	IGFBP5	0.79729676	Astrocyte
hsa-miR-5580-3p	PFN2	0.79659826	Astrocyte
hsa-miR-3163	APOLD1	0.79599065	Astrocyte
hsa-miR-3180-5p	HTR2C	0.7958537	Astrocyte
hsa-miR-4659b-3p	PMCH	0.7958472	Astrocyte
hsa-miR-4659b-3p	PLXNA4	0.79579675	Astrocyte
hsa-miR-585-5p	ANKRD13B	0.79487544	Astrocyte
hsa-miR-18b-5p	XYLT1	0.79419106	Astrocyte
hsa-miR-3163	PELI1	0.7941732	Astrocyte
hsa-miR-4659b-3p	CDC14A	0.79328215	Astrocyte
hsa-miR-1283	PTPRZ1	0.79319745	Astrocyte
hsa-miR-3163	VAV3	0.7927184	Astrocyte
hsa-miR-4659b-3p	ID4	0.79263115	Astrocyte
hsa-miR-1283	SOD2	0.7925078	Astrocyte
hsa-miR-19b-3p	TIA1	0.79119766	Astrocyte
hsa-miR-1283	MAP3K1	0.79113	Astrocyte
hsa-miR-4659b-3p	SLC4A4	0.7909142	Astrocyte
hsa-miR-4659b-3p	CRIM1	0.7897921	Astrocyte
hsa-miR-3163	CGNL1	0.78868705	Astrocyte
hsa-miR-17-5p	PAG1	0.7874301	Astrocyte
hsa-miR-3163	KITLG	0.7872761	Astrocyte
hsa-miR-3680-3p	TFRC	0.78699654	Astrocyte
hsa-miR-5580-3p	PHACTR2	0.78508496	Astrocyte
hsa-miR-3180-5p	TENM3	0.7809908	Astrocyte
hsa-miR-17-5p	LRIG1	0.7804617	Astrocyte
hsa-miR-3680-3p	GEM	0.7789447	Astrocyte
hsa-miR-4659b-3p	SAMD4A	0.7783584	Astrocyte
hsa-miR-17-5p	TGFBR2	0.7782725	Astrocyte
hsa-miR-4769-3p	SEMA6A	0.7775031	Astrocyte
hsa-miR-4659b-3p	COL4A4	0.7771766	Astrocyte
hsa-miR-3680-3p	KCNMB2	0.77714753	Astrocyte
hsa-miR-4659b-3p	DIO2	0.77627814	Astrocyte
hsa-miR-3680-3p	CCBE1	0.775951	Astrocyte
hsa-miR-3942-5p	CRISPLD1	0.77538735	Astrocyte
hsa-miR-3163	NEUROD1	0.77533567	Astrocyte
hsa-miR-19b-3p	C11orf96	0.7734096	Astrocyte
hsa-miR-5580-3p	PID1	0.7695361	Astrocyte
hsa-miR-19b-3p	LRIG1	0.76705015	Astrocyte
hsa-miR-4659b-3p	ABCA1	0.76587003	Astrocyte
hsa-miR-146a-3p	SHISA6	0.7656935	Astrocyte
hsa-miR-4505	SHISA6	0.7655178	Astrocyte
hsa-miR-19b-3p	ITGA6	0.7651292	Astrocyte
hsa-miR-202-3p	GPCPD1	0.76388985	Astrocyte
hsa-miR-3163	PRLR	0.7630693	Astrocyte
hsa-miR-146a-3p	ETS2	0.75991225	Astrocyte
hsa-miR-17-5p	TMEM100	0.7595072	Astrocyte
hsa-miR-4659b-3p	MAF	0.75855935	Astrocyte
hsa-miR-3942-5p	ABCC9	0.7578727	Astrocyte
hsa-miR-3942-5p	TNFRSF11B	0.7575408	Astrocyte
hsa-miR-1283	ST8SIA1	0.7556702	Astrocyte
hsa-miR-585-5p	LGR4	0.75483686	Astrocyte
hsa-miR-3163	LOXL3	0.7545418	Astrocyte
hsa-miR-1283	NAMPT	0.75313807	Astrocyte
hsa-miR-3163	SMAD6	0.75296915	Astrocyte
hsa-miR-3163	B3GNT5	0.75160134	Astrocyte
hsa-miR-3942-5p	CALCRL	0.751538	Astrocyte
hsa-miR-17-5p	ANO6	0.7511315	Astrocyte
hsa-miR-1283	SORCS1	0.74993813	Astrocyte
hsa-miR-19b-3p	FLNC	0.749413	Astrocyte
hsa-miR-3163	BRINP3	0.7487261	Astrocyte
hsa-miR-17-5p	LRP8	0.74764055	Astrocyte
hsa-miR-4659b-3p	COL8A1	0.747526	Astrocyte
hsa-miR-19b-3p	TNFAIP3	0.7472463	Astrocyte
hsa-miR-3942-5p	PCSK6	0.7467995	Astrocyte
hsa-miR-3163	PELI2	0.7464607	Astrocyte
hsa-miR-17-5p	HIF1A	0.7458596	Astrocyte
hsa-miR-3680-3p	SLIT2	0.7443832	Astrocyte
hsa-miR-4505	GLIS2	0.7413639	Astrocyte
hsa-miR-3163	FNDC3B	0.74107635	Astrocyte
hsa-miR-19b-3p	PTPRD	0.7408716	Astrocyte
hsa-miR-1283	TCF7L1	0.7407237	Astrocyte
hsa-miR-3942-5p	CXCL16	0.7406284	Astrocyte
hsa-miR-1283	PTN	0.73939776	Astrocyte
hsa-miR-3163	WDFY4	0.73893905	Astrocyte
hsa-miR-4659b-3p	HIF1A	0.7382291	Astrocyte
hsa-miR-585-5p	LHFPL2	0.7381848	Astrocyte
hsa-miR-548ae-3p	COL4A1	0.98065877	B_cell
hsa-miR-548ae-3p	IGFBP3	0.97981775	B_cell
hsa-miR-3680-3p	SOX6	0.96989286	B_cell
hsa-miR-548am-3p	COL4A1	0.9690326	B_cell
hsa-miR-548ae-3p	TGFBR1	0.9605114	B_cell
hsa-miR-548am-3p	IGFBP3	0.9562119	B_cell
hsa-miR-3680-3p	RBMS3	0.9557634	B_cell
hsa-miR-548aq-3p	COL1A1	0.9530902	B_cell
hsa-miR-3180-5p	PCSK6	0.9526976	B_cell
hsa-miR-548ae-3p	GJA3	0.9484482	B_cell
hsa-miR-548aq-3p	IGFBP3	0.94551414	B_cell
hsa-miR-4659b-3p	IGDCC4	0.94297296	B_cell
hsa-miR-3180-5p	MAMDC2	0.94293517	B_cell
hsa-miR-3180-5p	ZFHX4	0.94166267	B_cell
hsa-miR-548aq-3p	COL4A1	0.94137263	B_cell
hsa-miR-548ae-3p	CCL3L3	0.9389637	B_cell
hsa-miR-548ae-3p	THSD7B	0.9388279	B_cell
hsa-miR-548aq-3p	THSD7B	0.9384773	B_cell
hsa-miR-3180-5p	BACE2	0.93673927	B_cell
hsa-miR-3180-5p	BACH2	0.9360071	B_cell
hsa-miR-3180-5p	OLR1	0.9338541	B_cell
hsa-miR-494-3p	PELI1	0.9321944	B_cell
hsa-miR-548ae-3p	SCG2	0.92932296	B_cell
hsa-miR-548am-3p	TGFBR1	0.92753315	B_cell
hsa-miR-548ae-3p	ROR1	0.9253968	B_cell
hsa-miR-3680-3p	PAG1	0.9252602	B_cell
hsa-miR-3680-3p	SEMA6A	0.92245954	B_cell
hsa-miR-548ae-3p	NOTCH2	0.9217731	B_cell
hsa-miR-4659b-3p	CYTL1	0.9184005	B_cell
hsa-miR-4769-3p	RASSF3	0.9162576	B_cell
hsa-miR-548aq-3p	ROR1	0.9148481	B_cell
hsa-miR-548ae-3p	SCN9A	0.91133803	B_cell
hsa-miR-548ae-3p	FGD6	0.91115135	B_cell
hsa-miR-3180-5p	PFN2	0.9088612	B_cell
hsa-miR-3180-5p	NEDD9	0.90816194	B_cell
hsa-miR-140-5p	TGFBR1	0.9078973	B_cell
hsa-miR-548am-3p	TFPI2	0.9060756	B_cell
hsa-miR-548aq-3p	TFPI2	0.905659	B_cell
hsa-miR-548ae-3p	TFPI2	0.90532154	B_cell
hsa-miR-548ae-3p	GNB4	0.9013184	B_cell
hsa-miR-548aq-3p	TGFBR1	0.9012501	B_cell
hsa-miR-3180-5p	ABTB2	0.90095323	B_cell
hsa-miR-146a-3p	MASP1	0.90041083	B_cell
hsa-miR-4659b-3p	NEUROD1	0.9003486	B_cell
hsa-miR-19b-3p	ROR1	0.9002024	B_cell
hsa-miR-548aq-3p	SCG2	0.8998735	B_cell
hsa-miR-548ae-3p	RIMKLB	0.8998221	B_cell
hsa-miR-548ae-3p	KCTD12	0.8991678	B_cell
hsa-miR-548ae-3p	FSTL1	0.898837	B_cell
hsa-miR-19b-3p	SOX6	0.8988278	B_cell
hsa-miR-548ae-3p	TCF7L2	0.8985874	B_cell
hsa-miR-203a-3p	B3GNT5	0.8978132	B_cell
hsa-miR-3180-5p	NXPH1	0.896033	B_cell
hsa-miR-548am-3p	CCL3L3	0.8957848	B_cell
hsa-miR-3680-3p	MAP3K1	0.8954509	B_cell
hsa-miR-548ae-3p	COL1A1	0.89485794	B_cell
hsa-miR-4659b-3p	PLXDC2	0.8943622	B_cell
hsa-miR-494-3p	TBC1D4	0.89411074	B_cell
hsa-miR-3680-3p	PALLD	0.89342535	B_cell
hsa-miR-4659b-3p	TNFSF13B	0.8924447	B_cell
hsa-miR-548ae-3p	VGLL3	0.89233047	B_cell
hsa-miR-4659b-3p	RBMS3	0.89220226	B_cell
hsa-miR-548ae-3p	RBM47	0.8920438	B_cell
hsa-miR-548ae-3p	GABRG1	0.8918954	B_cell
hsa-miR-3680-3p	ZFP36L1	0.891416	B_cell
hsa-miR-548ae-3p	SOX6	0.88909644	B_cell
hsa-miR-548ae-3p	PYGO1	0.88909125	B_cell
hsa-miR-4659b-3p	COL4A1	0.88874197	B_cell
hsa-miR-548aq-3p	RIMKLB	0.8877892	B_cell
hsa-miR-3180-5p	ADCY2	0.8874241	B_cell
hsa-miR-25-3p	ITGA6	0.886938	B_cell
hsa-miR-3680-3p	BACH2	0.8869078	B_cell
hsa-miR-3680-3p	BCL11B	0.8866876	B_cell
hsa-miR-3180-5p	TENM4	0.8861548	B_cell
hsa-miR-548ae-3p	ZBTB2	0.884954	B_cell
hsa-miR-548am-3p	PYGO1	0.88494855	B_cell
hsa-miR-548aq-3p	ZBTB2	0.8844348	B_cell
hsa-miR-19b-3p	IGFBP3	0.8838134	B_cell
hsa-miR-494-3p	PLOD2	0.88262767	B_cell
hsa-miR-548am-3p	VGLL3	0.88235056	B_cell
hsa-miR-3680-3p	RAI14	0.88213474	B_cell
hsa-miR-548ae-3p	CCND1	0.8815281	B_cell
hsa-miR-548aq-3p	FGD6	0.8805422	B_cell
hsa-miR-548au-5p	FNDC3B	0.87952244	B_cell
hsa-miR-548am-3p	SCN9A	0.87947947	B_cell
hsa-miR-17-5p	PBX3	0.87909603	B_cell
hsa-miR-19b-3p	GPCPD1	0.8784814	B_cell
hsa-miR-17-5p	CD69	0.8783944	B_cell
hsa-miR-548ae-3p	PALM2AKAP2	0.8778801	B_cell
hsa-miR-548ae-3p	ARHGAP29	0.87771356	B_cell
hsa-miR-4659b-3p	PRDM1	0.8770307	B_cell
hsa-miR-548am-3p	THSD7B	0.8751126	B_cell
hsa-miR-140-5p	PRDM1	0.87508667	B_cell
hsa-miR-548aq-3p	FGFR3	0.8742279	B_cell
hsa-miR-548ae-3p	FLI1	0.8721949	B_cell
hsa-miR-494-3p	ALK	0.8721189	B_cell
hsa-miR-3680-3p	SLC2A3	0.8717196	B_cell
hsa-miR-3180-5p	PADI2	0.8712588	B_cell
hsa-miR-3680-3p	KCNN3	0.86993533	B_cell
hsa-miR-494-3p	TSHZ2	0.86920273	B_cell
hsa-miR-3680-3p	CNTN5	0.86855954	B_cell
hsa-miR-494-3p	FSTL5	0.8684269	B_cell
hsa-miR-3180-5p	TNFRSF1A	0.8674966	B_cell
hsa-miR-203a-3p	RBM47	0.8669479	B_cell
hsa-miR-3180-5p	SLC1A2	0.8663119	B_cell
hsa-miR-3180-5p	SNX7	0.86608267	B_cell
hsa-miR-4659b-3p	RIMKLB	0.8654819	B_cell
hsa-miR-548aq-3p	SCN9A	0.86503524	B_cell
hsa-miR-494-3p	NAMPT	0.86436474	B_cell
hsa-miR-548ae-3p	MYC	0.8639927	B_cell
hsa-miR-3180-5p	QRSL1	0.86384475	B_cell
hsa-miR-548am-3p	SCG2	0.8636742	B_cell
hsa-miR-548am-3p	RIMKLB	0.86276054	B_cell
hsa-miR-548aq-3p	FSTL1	0.8621594	B_cell
hsa-miR-548aq-3p	PYGO1	0.8620616	B_cell
hsa-miR-146a-3p	VAV3	0.8620221	B_cell
hsa-miR-548ae-3p	IQGAP2	0.8612717	B_cell
hsa-miR-19b-3p	NEUROD1	0.8605679	B_cell
hsa-miR-548aq-3p	CCL3L3	0.86046517	B_cell
hsa-miR-548au-5p	TMTC1	0.86001176	B_cell
hsa-miR-3680-3p	PCSK5	0.8596307	B_cell
hsa-miR-3680-3p	FNDC3B	0.8592553	B_cell
hsa-miR-202-3p	PEG10	0.85885775	B_cell
hsa-miR-548am-3p	GNB4	0.8583094	B_cell
hsa-miR-494-3p	ZFHX4	0.8564543	B_cell
hsa-miR-548aq-3p	PTH2R	0.85606724	B_cell
hsa-miR-4659b-3p	DACH1	0.8559846	B_cell
hsa-miR-4659b-3p	ST8SIA4	0.8552932	B_cell
hsa-miR-3180-5p	KLHL13	0.8547912	B_cell
hsa-miR-494-3p	TOR1AIP1	0.85371363	B_cell
hsa-miR-548aq-3p	VGLL3	0.8534019	B_cell
hsa-miR-548aq-3p	GNB4	0.8501151	B_cell
hsa-miR-4659b-3p	NR5A2	0.85001713	B_cell
hsa-miR-3680-3p	CTTNBP2NL	0.848807	B_cell
hsa-miR-548am-3p	ROR1	0.8481682	B_cell
hsa-miR-25-3p	COL27A1	0.84721696	B_cell
hsa-miR-4659b-3p	MEDAG	0.8471938	B_cell
hsa-miR-3680-3p	ZBTB2	0.8466165	B_cell
hsa-miR-548ae-3p	NAMPT	0.84560937	B_cell
hsa-miR-548ae-3p	PTH2R	0.8453291	B_cell
hsa-miR-4659b-3p	IL1R1	0.8437288	B_cell
hsa-miR-548aq-3p	PALM2AKAP2	0.84316736	B_cell
hsa-miR-25-3p	FZD10	0.8415198	B_cell
hsa-miR-203a-3p	MAP3K1	0.8414257	B_cell
hsa-miR-4659b-3p	PCDH15	0.8403132	B_cell
hsa-miR-3680-3p	CNN3	0.8401091	B_cell
hsa-miR-3680-3p	CBLB	0.8396071	B_cell
hsa-miR-19b-3p	ARHGAP11A	0.83942336	B_cell
hsa-miR-548aq-3p	SOX2	0.8393313	B_cell
hsa-miR-3180-5p	CD36	0.83889794	B_cell
hsa-miR-203a-3p	SHISA6	0.83877635	B_cell
hsa-miR-202-3p	RCN1	0.83791476	B_cell
hsa-miR-548ae-3p	FGFR3	0.83559644	B_cell
hsa-miR-548am-3p	FOXP2	0.83443004	B_cell
hsa-miR-548ae-3p	BCOR	0.83395696	B_cell
hsa-miR-19b-3p	ATP10A	0.83317703	B_cell
hsa-miR-17-5p	BCL11B	0.8327907	B_cell
hsa-miR-6872-3p	SH3BGR	0.83178264	B_cell
hsa-miR-19b-3p	PFN2	0.83170885	B_cell
hsa-miR-548am-3p	TCF7L2	0.83109933	B_cell
